
 *: interface is up
 IHQ: pkts in input hold queue     IQD: pkts dropped from input queue
 OHQ: pkts in output hold queue    OQD: pkts dropped from output queue
 RXBS: rx rate (bits/sec)          RXPS: rx rate (pkts/sec)
 TXBS: tx rate (bits/sec)          TXPS: tx rate (pkts/sec)
 TRTL: throttle count

  Interface                   IHQ       IQD       OHQ       OQD      RXBS      RXPS      TXBS      TXPS      TRTL
  GigabitEthernet5/45           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/46           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/47           0         0         0         3         0         0    142000       110         0
  GigabitEthernet5/48           0         0         0         3         0         0         0         0         0
  GigabitEthernet6/1            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/2            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/3            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/4            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/5            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/6            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/7            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/8            0         0         0         0         0         0         0         0         0
  GigabitEthernet6/9            0         0         0         0         0         0         0         0         0
* GigabitEthernet6/10           0         0         0         0         0         0      1000         3         0
* GigabitEthernet6/11           0         0         0         0         0         0      9000        10         0
  GigabitEthernet6/12           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/13           0         0         0         0         0         0      2000         4         0
* GigabitEthernet6/14           0         0         0         0         0         0      3000         4         0
* GigabitEthernet6/15           0         0         0         0         0         0      1000         2         0
  GigabitEthernet6/16           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/17           0         0         0         0         0         0     10000        10         0
  GigabitEthernet6/18           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/19           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/20           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/21           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/22           0         0         0         0         0         0      1000         2         0
  GigabitEthernet6/23           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/24           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/25           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/26           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/27           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/28           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/29           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/30           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/31           0         0         0         0         0         0      5000         5         0
  GigabitEthernet6/32           0         0         0         0         0         0         0         0         0
  GigabitEthernet6/33           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/34           0         0         0         0         0         0     11000        10         0
* GigabitEthernet6/35           0         0         0         0      3000         3     30000        15         0
* GigabitEthernet6/36           0         0         0         0         0         0     10000        10         0
* GigabitEthernet6/37           0         0         0         0         0         0     11000        11         0
  GigabitEthernet6/38           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/39           0         0         0         0      7000         3    129000        16         0
* GigabitEthernet6/40           0         0         0         0         0         0  11060000      2466         0
* GigabitEthernet6/41           0         0         0         0         0         0    145000       110         0
* GigabitEthernet6/42           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/43           0         0         0         0      6000         4     41000         9         0
* GigabitEthernet6/44           0         0         0         0     16000        16    323000        36         0
* GigabitEthernet6/45           0         0         0         0         0         0         0         0         0
* GigabitEthernet6/46           0         0         0         0         0         0     16000         8         0
* GigabitEthernet6/47           0         0         0         0     62000        60    837000       101         0
* GigabitEthernet6/48           0         0         0         0         0         0         0         0         0
* Port-channel3                 0         0         0         0  40980000      6463  37720000      6205         0
* Port-channel4                 0         0         0         0         0         0    142000       110         0
* Tunnel0                       0         0         0         0         0         0         0         0         0
* Tunnel1                       0         0         0         0         0         0         0         0         0
* Tunnel2                       0         0         0         0         0         0         0         0         0
* Tunnel3                       0         0         0         0         0         0         0         0         0
* Tunnel4                       0         0         0         0         0         0         0         0         0
* Tunnel5                       0         0         0         0         0         0         0         0         0
* Tunnel6                       0         0         0         0         0         0         0         0         0
* Tunnel7                       0         0         0         0         0         0         0         0         0
* Tunnel8                       0         0         0         0         0         0         0         0         0
* Tunnel9                       0         0         0         0         0         0         0         0         0
* Tunnel20                      0         0         0         0         0         1         0         0         0
* Vlan1                         0         0         0         0         0         0         0         0         0
* Vlan704                       0         0         0         0         0         0         0         0         0
* Vlan720                       0         0         0         0         0         0         0         0         0
* Vlan721                       0         0         0         0         0         0         0         0         0
* Vlan1100                      0         0         0         0         0         0      6000         5         0
* Vlan1101                      0         0         0         0         0         0         0         0         0
* Vlan1102                      0         0         0         0         0         0         0         0         0
* Vlan1104                      0         0         0         0         0         0         0         0         0
* Vlan1105                      0         0         0         0         0         0     55000        15         0
* Vlan1106                      0         0         0         0         0         0         0         0         0
  Vlan1107                      0         0         0         0         0         0         0         0         0
* Vlan1108                      0         0         0         0         0         0         0         0         0
* Vlan1109                      0         0         0         0         0         0         0         0         0
* Vlan1110                      0         0         0         0         0         0         0         0         0
* Vlan1111                      0         4         0         0         0         0      1000         1         0
  Vlan1112                      0         0         0         0         0         0         0         0         0
* Vlan1120                      0         0         0         0      1000         1         0         0         0
* Vlan1128                      0         0         0         0      2000         2         0         0         0
* Vlan1132                      0         0         0         0      1000         1      1000         1         0
* Vlan1136                      0         0         0         0         0         0         0         0         0
* Vlan1140                      0         0         0         0         0         0         0         0         0
* Vlan1144                      0         0         0         0      1000         1         0         0         0
* Vlan1148                      0         0         0         0         0         0         0         0         0
* Vlan1201                      0         0         0         0         0         0         0         0         0
